   1.0000000e+00   1.0000000e+03
   3.0000000e+00   3.3300000e+02
   5.0000000e+00   2.0000000e+02
   7.0000000e+00   1.4200000e+02
   9.0000000e+00   1.1100000e+02
   1.1000000e+01   9.0000000e+01
   1.3000000e+01   7.6000000e+01
   1.5000000e+01   6.6000000e+01
   1.7000000e+01   5.8000000e+01
   1.9000000e+01   5.2000000e+01
   2.1000000e+01   4.7000000e+01
   2.3000000e+01   4.3000000e+01
   2.5000000e+01   4.0000000e+01
   2.7000000e+01   3.7000000e+01
   2.9000000e+01   3.4000000e+01
